,0
0,20MICRONS
1,21STCENMGM
2,3IINFOTECH
3,3MINDIA
4,63MOONS
5,A2ZINFRA
6,AAKASH
7,AARTIDRUGS
8,AARTIIND
9,AARVEEDEN
10,AARVI
11,AAVAS
12,ABAN
13,ABB
14,ABBOTINDIA
15,ABCAPITAL
16,ABFRL
17,ABSLBANETF
18,ABSLNN50ET
19,ACC
20,ACCELYA
21,ACE
22,ADANIENT
23,ADANIGAS
24,ADANIGREEN
25,ADANIPORTS
26,ADANIPOWER
27,ADANITRANS
28,ADFFOODS
29,ADHUNIKIND
30,ADORWELD
31,ADROITINFO
32,ADSL
33,ADVANIHOTR
34,ADVENZYMES
35,AEGISCHEM
36,AFFLE
37,AGARIND
38,AGCNET
39,AGRITECH
40,AGROPHOS
41,AHLEAST
42,AHLUCONT
43,AHLWEST
44,AIAENG
45,AIONJSW
46,AIRAN
47,AJANTPHARM
48,AJMERA
49,AKSHARCHEM
50,AKSHOPTFBR
51,AKZOINDIA
52,ALANKIT
53,ALBERTDAVD
54,ALCHEM
55,ALEMBICLTD
56,ALICON
57,ALKALI
58,ALKEM
59,ALKYLAMINE
60,ALLCARGO
61,ALLSEC
62,ALMONDZ
63,ALOKINDS
64,ALPA
65,ALPHAGEO
66,ALPSINDUS
67,AMARAJABAT
68,AMBER
69,AMBIKCO
70,AMBUJACEM
71,AMDIND
72,AMJLAND
73,AMRUTANJAN
74,ANDHRACEMT
75,ANDHRAPAP
76,ANDHRSUGAR
77,ANGELBRKG
78,ANIKINDS
79,ANSALAPI
80,ANSALHSG
81,ANUP
82,APARINDS
83,APCL
84,APCOTEXIND
85,APEX
86,APLAPOLLO
87,APLLTD
88,APOLLO
89,APOLLOHOSP
90,APOLLOPIPE
91,APOLLOTYRE
92,APOLSINHOT
93,APTECHT
94,ARCHIDPLY
95,ARCHIES
96,ARENTERP
97,ARIES
98,ARIHANT
99,ARIHANTSUP
100,ARMANFIN
101,AROGRANITE
102,ARROWGREEN
103,ARSSINFRA
104,ARTEMISMED
105,ARVIND
106,ARVINDFASN
107,ARVSMART
108,ASAHIINDIA
109,ASAHISONG
110,ASAL
111,ASALCBR
112,ASHAPURMIN
113,ASHIANA
114,ASHOKA
115,ASHOKLEY
116,ASIANHOTNR
117,ASIANPAINT
118,ASIANTILES
119,ASPINWALL
120,ASTEC
121,ASTERDM
122,ASTRAL
123,ASTRAMICRO
124,ASTRAZEN
125,ASTRON
126,ATFL
127,ATLANTA
128,ATUL
129,ATULAUTO
130,AUBANK
131,AURIONPRO
132,AUROPHARMA
133,AUSOMENT
134,AUTOAXLES
135,AUTOIND
136,AUTOLITIND
137,AVADHSUGAR
138,AVANTIFEED
139,AVTNPL
140,AXISBANK
141,AXISCADES
142,AXISGOLD
143,AXISNIFTY
144,AYMSYNTEX
145,BAGFILMS
146,BAJAJ-AUTO
147,BAJAJCON
148,BAJAJELEC
149,BAJAJFINSV
150,BAJAJHIND
151,BAJAJHLDNG
152,BAJFINANCE
153,BALAJITELE
154,BALAMINES
155,BALKRISHNA
156,BALKRISIND
157,BALMLAWRIE
158,BALPHARMA
159,BALRAMCHIN
160,BANARBEADS
161,BANARISUG
162,BANCOINDIA
163,BANDHANBNK
164,BANG
165,BANKBARODA
166,BANKBEES
167,BANKINDIA
168,BANSWRAS
169,BASF
170,BASML
171,BATAINDIA
172,BAYERCROP
173,BBL
174,BBTC
175,BCG
176,BCP
177,BDL
178,BEL
179,BEML
180,BEPL
181,BERGEPAINT
182,BFINVEST
183,BFUTILITIE
184,BGRENERGY
185,BHAGERIA
186,BHAGYANGR
187,BHAGYAPROP
188,BHANDARI
189,BHARATFORG
190,BHARATGEAR
191,BHARATRAS
192,BHARATWIRE
193,BHARTIARTL
194,BHEL
195,BILENERGY
196,BINDALAGRO
197,BIOCON
198,BIRLACABLE
199,BIRLACORPN
200,BIRLAMONEY
201,BIRLATYRE
202,BKMINDST
203,BLISSGVS
204,BLS
205,BLUEDART
206,BLUESTARCO
207,BODALCHEM
208,BOMDYEING
209,BORORENEW
210,BOSCHLTD
211,BPCL
212,BPL
213,BRIGADE
214,BRITANNIA
215,BRNL
216,BSE
217,BSELINFRA
218,BSL
219,BSLGOLDETF
220,BSLNIFTY
221,BSOFT
222,BURNPUR
223,BYKE
224,CADILAHC
225,CAMLINFINE
226,CAMS
227,CANBK
228,CANFINHOME
229,CANTABIL
230,CAPACITE
231,CAPLIPOINT
232,CAPTRUST
233,CARBORUNIV
234,CAREERP
235,CARERATING
236,CASTROLIND
237,CCHHL
